                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85627,                 4.0377,                 1.3476,                0.32051,                0.21449,                0.25185,                0.23058,                0.43594,                 3.8598,                0.96697,              8.092e-05,              8.092e-05,              8.092e-05
                      2,                0.61465,                 3.3369,                  1.152,                0.14545,                0.98925,                0.50146,                0.44943,                0.46603,                 3.2366,                0.95658,              0.0001611,              0.0001611,              0.0001611
                      3,                0.64617,                 2.5355,                 1.1431,                0.57915,                 0.6817,                0.71903,                0.62676,                0.55983,                 2.1743,                 1.0478,             0.00023563,             0.00023563,             0.00023563
                      4,                0.63006,                 1.8016,                 1.1563,                0.84354,                0.85234,                0.89544,                0.78681,                  0.598,                 1.3129,                 1.0596,              0.0003045,              0.0003045,              0.0003045
                      5,                0.64238,                 1.4769,                 1.1346,                0.87916,                0.85238,                0.92321,                0.80546,                0.48017,                 1.2887,                  1.003,             0.00036772,             0.00036772,             0.00036772
                      6,                0.60465,                 1.2843,                 1.1104,                0.87894,                0.80614,                0.91649,                0.77636,                0.53999,                 1.0693,                 1.0201,             0.00039746,             0.00039746,             0.00039746
                      7,                0.57647,                  1.179,                 1.0979,                0.88988,                0.94552,                0.94836,                0.83656,                0.46478,                0.91629,                0.97093,             0.00039746,             0.00039746,             0.00039746
                      8,                0.55576,                 1.1543,                  1.054,                 0.8626,                0.79892,                0.90436,                0.78913,                0.46921,                 1.1765,                0.97009,             0.00038175,             0.00038175,             0.00038175
                      9,                0.52976,                 1.0489,                 1.0616,                0.88486,                0.90411,                0.94302,                0.82961,                0.49847,                 1.0283,                0.98903,             0.00036604,             0.00036604,             0.00036604
                     10,                0.52911,                 1.0262,                  1.055,                0.86929,                0.93992,                0.94455,                0.82536,                0.53183,                0.92566,                 1.0292,             0.00035034,             0.00035034,             0.00035034
                     11,                0.53061,                 1.0082,                 1.0643,                0.87986,                0.95107,                0.94174,                0.82993,                0.46506,                 1.0004,                0.97607,             0.00033463,             0.00033463,             0.00033463
                     12,                 0.5107,                0.99628,                  1.038,                 0.8947,                0.93143,                0.95706,                0.85716,                0.50063,                0.86722,                0.99247,             0.00031892,             0.00031892,             0.00031892
                     13,                0.52031,                 0.9222,                 1.0603,                0.89519,                0.91512,                0.96438,                0.86929,                0.45519,                0.95347,                0.95198,             0.00030321,             0.00030321,             0.00030321
                     14,                0.47779,                0.90315,                 1.0005,                0.88775,                0.94588,                0.96278,                0.84875,                0.50794,                 0.8546,                0.97436,              0.0002875,              0.0002875,              0.0002875
                     15,                0.49885,                0.88813,                 1.0255,                0.90894,                0.85132,                0.94029,                0.82674,                0.51492,                 1.1315,                 1.0345,              0.0002718,              0.0002718,              0.0002718
                     16,                0.47287,                0.90299,                 1.0151,                0.83611,                0.87338,                0.96524,                0.86041,                0.50328,                 1.3857,                 0.9604,             0.00025609,             0.00025609,             0.00025609
                     17,                0.51279,                0.89668,                 1.0512,                0.87442,                0.95633,                 0.9752,                0.87177,                0.45274,                  1.033,                 0.9323,             0.00024038,             0.00024038,             0.00024038
                     18,                0.48452,                0.88975,                0.99845,                0.89469,                0.92749,                 0.9583,                0.86677,                0.43628,                 1.0542,                0.93155,             0.00022467,             0.00022467,             0.00022467
                     19,                0.46024,                0.78841,                0.99297,                0.87464,                0.94829,                0.96181,                0.86757,                0.45988,                0.96372,                0.93532,             0.00020896,             0.00020896,             0.00020896
                     20,                0.46219,                0.77934,                0.99757,                0.88073,                0.94749,                0.96824,                0.88136,                0.43346,                0.90841,                0.93004,             0.00019326,             0.00019326,             0.00019326
                     21,                0.38364,                 1.2614,                0.95397,                0.83557,                0.83253,                0.92623,                0.84411,                0.44177,                 1.6254,                0.93687,             0.00017755,             0.00017755,             0.00017755
                     22,                0.42383,                 1.3626,                  1.005,                0.90911,                0.96062,                0.96655,                0.87539,                 0.4163,                0.85375,                0.92804,             0.00016184,             0.00016184,             0.00016184
                     23,                0.33885,                  1.038,                0.93734,                0.92685,                0.96738,                0.96762,                 0.8726,                0.40907,                 0.7335,                0.92408,             0.00014613,             0.00014613,             0.00014613
                     24,                0.33503,                 1.1409,                0.94172,                0.93062,                0.95627,                0.96906,                0.87175,                0.43176,                0.75434,                 0.9287,             0.00013042,             0.00013042,             0.00013042
                     25,                0.32641,                 1.0147,                0.89737,                0.90806,                0.96547,                0.97576,                 0.8811,                0.42556,                0.77674,                0.92009,             0.00011472,             0.00011472,             0.00011472
                     26,                0.32308,                0.95635,                0.89617,                0.90432,                0.97814,                0.97832,                0.87545,                0.42084,                0.73028,                0.92214,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     27,                0.33186,                 0.9679,                0.91402,                0.93066,                0.96517,                0.98065,                0.88039,                0.40394,                0.65913,                0.91723,               8.33e-05,               8.33e-05,               8.33e-05
                     28,                0.30802,                0.96468,                0.90404,                0.92952,                0.96988,                0.97865,                0.88261,                0.40893,                0.64427,                0.91134,             6.7592e-05,             6.7592e-05,             6.7592e-05
                     29,                0.32247,                0.91496,                0.89863,                0.92015,                0.96861,                0.97752,                0.89132,                0.39405,                0.63998,                0.90459,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     30,                0.29833,                0.88889,                0.90876,                0.91627,                0.97582,                0.97858,                0.89122,                0.39389,                0.63569,                0.90385,             3.6176e-05,             3.6176e-05,             3.6176e-05
