                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58355,                 3.2372,                 1.1509,                0.54473,                0.36771,                0.41633,                0.33805,                0.67591,                 2.5566,                 1.2612,             0.00017095,             0.00017095,             0.00017095
                      2,                0.60555,                 2.0163,                 1.1596,                0.63043,                0.64873,                0.68252,                0.54267,                0.68904,                 2.3111,                 1.2223,             0.00034286,             0.00034286,             0.00034286
                      3,                0.56759,                  1.543,                 1.1122,                0.65359,                0.60204,                0.66672,                0.52233,                0.76382,                 1.9531,                 1.3046,             0.00051129,             0.00051129,             0.00051129
                      4,                0.59928,                 1.4697,                 1.1315,                0.60851,                0.59828,                0.65501,                0.53436,                0.71024,                 2.1174,                 1.2671,             0.00051038,             0.00051038,             0.00051038
                      5,                0.64161,                 1.5164,                 1.1565,                0.59451,                0.52693,                0.59231,                 0.4827,                0.76191,                 2.3224,                 1.3402,             0.00051038,             0.00051038,             0.00051038
                      6,                 0.6178,                 1.3812,                 1.1403,                0.65576,                0.56885,                0.60744,                0.47531,                 0.7798,                 2.2351,                 1.3227,             0.00050517,             0.00050517,             0.00050517
                      7,                0.61123,                 1.3053,                 1.1376,                0.66924,                0.64215,                0.69749,                0.55976,                0.70718,                 1.8451,                 1.2435,             0.00049996,             0.00049996,             0.00049996
                      8,                0.61197,                 1.2378,                 1.1322,                0.74641,                0.63157,                0.74286,                0.59727,                0.72315,                 1.7022,                 1.2711,             0.00049476,             0.00049476,             0.00049476
                      9,                0.59633,                 1.1813,                 1.1267,                0.71796,                0.61949,                0.72828,                 0.5849,                0.75073,                 1.7865,                 1.3053,             0.00048955,             0.00048955,             0.00048955
                     10,                0.57985,                 1.1348,                 1.1096,                0.62503,                 0.6162,                 0.6853,                0.57586,                0.69973,                 1.7807,                 1.2442,             0.00048434,             0.00048434,             0.00048434
                     11,                0.56954,                 1.0803,                 1.1025,                0.72358,                0.61216,                 0.7222,                0.58232,                0.80771,                  1.798,                 1.3896,             0.00047913,             0.00047913,             0.00047913
                     12,                0.57184,                 1.0617,                 1.1124,                0.75347,                0.68896,                0.77865,                0.65123,                0.63932,                  1.564,                 1.1796,             0.00047393,             0.00047393,             0.00047393
                     13,                0.56777,                 1.0018,                 1.1069,                0.69261,                0.70775,                0.74324,                0.59928,                 0.6773,                 1.6703,                 1.2274,             0.00046872,             0.00046872,             0.00046872
                     14,                0.56501,                 1.0028,                 1.1045,                0.77568,                0.73678,                0.79787,                0.66755,                0.61195,                 1.4333,                  1.166,             0.00046351,             0.00046351,             0.00046351
                     15,                0.53842,                0.95588,                 1.0794,                0.74284,                0.64769,                0.73594,                0.60455,                0.66316,                 1.6332,                 1.2292,              0.0004583,              0.0004583,              0.0004583
                     16,                0.54794,                0.95111,                 1.0913,                0.75538,                0.69312,                0.76102,                0.62719,                0.68921,                 1.4446,                 1.2518,              0.0004531,              0.0004531,              0.0004531
                     17,                0.54441,                0.90155,                 1.0902,                0.75408,                0.70975,                0.80312,                0.66493,                0.71248,                 1.3817,                 1.2556,             0.00044789,             0.00044789,             0.00044789
                     18,                0.55004,                0.88398,                  1.108,                0.72522,                0.71913,                0.77892,                0.64153,                0.69136,                 1.4109,                 1.2627,             0.00044268,             0.00044268,             0.00044268
                     19,                0.53096,                0.84621,                 1.0762,                0.80966,                0.64219,                0.77592,                0.64816,                0.66409,                 1.3976,                 1.2068,             0.00043747,             0.00043747,             0.00043747
                     20,                0.51788,                0.83072,                  1.073,                0.74675,                0.74709,                0.80595,                 0.6662,                 0.6633,                 1.2534,                  1.201,             0.00043227,             0.00043227,             0.00043227
