                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.314,                 3.4509,                  1.978,                0.00993,                 0.3108,                0.01254,                0.00583,                  2.218,                    inf,                 3.7452,                0.07019,              0.0033122,              0.0033122
                      2,                 1.4184,                 3.0225,                 2.0593,                0.00661,                0.21359,                0.01655,                0.00772,                 1.9213,                 8.9039,                 2.9663,               0.040124,              0.0065798,              0.0065798
                      3,                 1.3874,                 2.9425,                 2.0154,                 0.0048,                0.25513,                0.01451,                 0.0055,                 2.8096,                 7.4144,                 3.6856,              0.0099923,              0.0097813,              0.0097813
                      4,                  1.317,                 2.8377,                  1.954,                0.62213,                0.11908,                0.05514,                0.02365,                 2.2736,                 3.7555,                 3.0831,               0.009703,               0.009703,               0.009703
                      5,                 1.2886,                 2.7605,                 1.9154,                0.18924,                0.11621,                0.06742,                0.03547,                 1.7485,                 3.2347,                 2.6351,               0.009703,               0.009703,               0.009703
                      6,                 1.2297,                 2.7124,                 1.8486,                0.28643,                0.26372,                0.13907,                0.08564,                 1.4942,                 2.7517,                 2.3738,               0.009604,               0.009604,               0.009604
                      7,                 1.2258,                 2.6234,                 1.8433,                0.28385,                0.28128,                0.11526,                0.07002,                 1.4243,                 2.7089,                 2.2301,               0.009505,               0.009505,               0.009505
                      8,                 1.2073,                 2.6119,                 1.8339,                0.18104,                0.15145,                0.08524,                0.04368,                 2.0246,                  3.517,                 2.7757,               0.009406,               0.009406,               0.009406
                      9,                 1.1041,                 2.5177,                 1.7333,                0.38079,                0.28878,                 0.1421,                0.09782,                 1.2959,                 2.7075,                  2.121,               0.009307,               0.009307,               0.009307
                     10,                 1.1306,                 2.4929,                 1.7415,                0.25363,                0.28265,                0.17339,                0.11014,                 1.3638,                  2.543,                 2.1206,               0.009208,               0.009208,               0.009208
                     11,                 1.0964,                  2.439,                 1.7166,                0.18187,                 0.3608,                0.14785,                0.10183,                 1.2503,                 2.7675,                 2.0613,               0.009109,               0.009109,               0.009109
                     12,                 1.1159,                 2.4324,                  1.741,                0.34285,                0.34308,                0.16572,                0.11886,                  1.252,                  2.485,                 2.0733,                0.00901,                0.00901,                0.00901
                     13,                 1.0605,                 2.3884,                 1.6873,                0.20882,                   0.39,                0.20506,                0.13598,                 1.1332,                 2.3341,                  1.907,               0.008911,               0.008911,               0.008911
                     14,                 1.0553,                 2.3448,                 1.6779,                0.27452,                0.37423,                0.18836,                0.13058,                 1.1998,                 2.3489,                 1.9476,               0.008812,               0.008812,               0.008812
                     15,                 1.0168,                 2.3218,                 1.6503,                0.26631,                 0.3216,                0.18908,                0.13341,                 1.1524,                 2.2961,                 1.9645,               0.008713,               0.008713,               0.008713
                     16,                 1.0535,                 2.3306,                 1.6825,                0.17644,                0.35011,                 0.1983,                0.13698,                 1.1967,                 2.4824,                 1.9816,               0.008614,               0.008614,               0.008614
                     17,                  1.037,                 2.2851,                 1.6745,                0.16162,                0.32379,                0.13847,                0.09357,                 1.2223,                 3.2137,                  1.986,               0.008515,               0.008515,               0.008515
                     18,                 1.0061,                 2.2734,                 1.6266,                0.30255,                0.31827,                0.22421,                0.15901,                  1.196,                 2.2582,                 1.9717,               0.008416,               0.008416,               0.008416
                     19,                 1.0038,                 2.2594,                 1.6354,                0.24548,                0.42611,                0.24848,                0.17826,                 1.1564,                 2.2412,                 1.8948,               0.008317,               0.008317,               0.008317
                     20,                0.99851,                 2.2256,                 1.6302,                0.19826,                0.35073,                0.20129,                0.13627,                 1.2488,                 2.4522,                 1.9953,               0.008218,               0.008218,               0.008218
                     21,                0.98187,                 2.1832,                 1.6141,                0.26591,                0.44768,                0.28646,                0.21152,                  1.094,                 2.1667,                 1.8321,               0.008119,               0.008119,               0.008119
                     22,                0.94622,                 2.1251,                 1.5735,                0.25665,                0.37922,                0.27398,                0.20097,                 1.0987,                  2.217,                 1.8744,                0.00802,                0.00802,                0.00802
                     23,                0.94358,                 2.1106,                  1.573,                0.18763,                0.38771,                0.25342,                0.18158,                 1.1494,                 2.2451,                 1.8819,               0.007921,               0.007921,               0.007921
                     24,                0.94774,                  2.119,                 1.5853,                0.18658,                0.44178,                0.24606,                 0.1786,                 1.1106,                 2.2277,                 1.8634,               0.007822,               0.007822,               0.007822
                     25,                0.92981,                 2.0991,                 1.5765,                0.19581,                0.46194,                0.27707,                0.19894,                 1.1195,                 2.3327,                 1.8869,               0.007723,               0.007723,               0.007723
                     26,                0.93188,                 2.0765,                 1.5653,                 0.2893,                 0.4073,                 0.3139,                0.23167,                 1.0821,                 2.0712,                 1.7952,               0.007624,               0.007624,               0.007624
                     27,                 0.9051,                 2.0294,                 1.5381,                0.24406,                0.42876,                0.30743,                0.22388,                 1.1046,                 2.1343,                 1.8619,               0.007525,               0.007525,               0.007525
                     28,                0.92204,                 2.0309,                 1.5525,                0.22479,                0.50249,                0.29206,                0.22058,                 1.0317,                 2.0533,                 1.7571,               0.007426,               0.007426,               0.007426
                     29,                0.91748,                 2.0266,                 1.5506,                0.33716,                0.45056,                0.31024,                 0.2253,                 1.0477,                 2.0699,                 1.8088,               0.007327,               0.007327,               0.007327
                     30,                0.90116,                 1.9803,                 1.5233,                 0.2625,                0.46609,                 0.3366,                0.25983,                 1.0595,                 1.9659,                 1.8168,               0.007228,               0.007228,               0.007228
                     31,                0.90942,                 1.9763,                 1.5496,                 0.2614,                0.47298,                0.31937,                0.23713,                 1.0403,                 2.1019,                 1.7753,               0.007129,               0.007129,               0.007129
                     32,                0.90737,                 1.9331,                 1.5418,                0.38861,                0.44409,                0.38761,                0.28767,                 1.0168,                 1.8883,                 1.7529,                0.00703,                0.00703,                0.00703
                     33,                0.91091,                 1.8935,                 1.5372,                0.37607,                0.41823,                 0.3676,                0.27975,                  1.052,                 1.9317,                 1.7679,               0.006931,               0.006931,               0.006931
                     34,                 0.8661,                  1.886,                 1.5038,                0.28746,                0.46261,                0.35836,                 0.2676,                 1.0173,                 1.9493,                 1.7389,               0.006832,               0.006832,               0.006832
                     35,                0.87353,                  1.849,                 1.5117,                0.41613,                0.40835,                0.36455,                0.26221,                 1.0507,                 1.9288,                 1.8267,               0.006733,               0.006733,               0.006733
                     36,                  0.862,                 1.8571,                 1.5011,                0.28186,                0.44731,                0.35709,                0.26463,                 1.0306,                 1.9117,                 1.7564,               0.006634,               0.006634,               0.006634
                     37,                0.87033,                 1.8276,                 1.5041,                 0.3708,                 0.4511,                0.39348,                0.29203,                0.95672,                 1.9295,                 1.7029,               0.006535,               0.006535,               0.006535
                     38,                0.82437,                 1.7615,                 1.4601,                0.50084,                0.35309,                0.36245,                0.27492,                 1.0196,                 1.9681,                 1.7477,               0.006436,               0.006436,               0.006436
                     39,                0.85714,                 1.7784,                 1.4838,                0.35756,                0.41087,                0.37385,                 0.2733,                 1.0272,                 2.0321,                 1.7917,               0.006337,               0.006337,               0.006337
                     40,                0.83839,                 1.7893,                 1.4713,                0.51183,                 0.4185,                0.41668,                0.31704,                 1.0243,                 1.8177,                 1.7234,               0.006238,               0.006238,               0.006238
