,date,review,rating,review_tokens,review_tokens_removeST,review_tokens_removeST_vec,label
0,2023-09-10,상세 설명에 들어가지 않아도 검색 결과에서 중량과 가격이 바로 확인되면 더 편리하겠습니다,5,"['상세', '설명', '검색', '결과', '중량', '가격', '바로', '확인', '더']","['가격', '설명', '상세', '중량']", 가격 설명 상세 중량,1
1,2023-09-09,필터 기능 잘 되어있어 편하게 쇼핑함,5,"['필터', '기능', '쇼핑', '함']","['기능', '필터']", 기능 필터,1
2,2023-09-09,배송이 빨라요 그리고 할인이 많아요,5,"['배송', '할인']","['배송', '할인']", 배송 할인,1
3,2023-09-09,50퍼 쿠폰 만원 빵빵하게 주는 곳 처음 봄 주문하면 6시간 만에 옴 이 앱 뭐지,5,"['쿠폰', '만원', '빵빵', '곳', '처음', '봄', '주문', '옴', '이', '앱', '뭐']","['만원', '쿠폰', '주문']", 만원 쿠폰 주문,1
4,2023-09-09,빠른 배송,5,['배송'],['배송'], 배송,1
5,2023-09-09,컬리 너무 좋다 리 뷰티 쿠폰 줘가지 규 사고팠던 퍼퓸이랑 플루랑 켄트 칫솔도 사궁 설렘 설렘 향 너무 기대된 다리,5,"['컬리', '리', '뷰티', '쿠폰', '규', '사고', '퍼퓸', '플루', '켄트', '칫솔', '궁', '향', '기대', '다리']",['쿠폰'], 쿠폰,1
6,2023-09-08,마켓 컬리 대박이에요,5,"['마켓', '컬리', '대박']",['대박'], 대박,1
7,2023-09-08,배송이 완전 빠르고 제품 포장이 잘 되어와서 만족하고 있습니다,5,"['배송', '완전', '제품', '포장']","['제품', '포장', '배송', '완전']", 제품 포장 배송 완전,1
8,2023-09-08,아니 컬리 팜 초대해도 안 열리던데,1,"['컬리', '초대', '안']",['초대'], 초대,0
9,2023-09-07,샴푸를 저렴한 가격에 구매하게 되어 너무  남편이 물건 사는 걸 좋아하지 않는데 컬리에서 쿠폰 주실 때마다 자주 구매를 하라고 하네요 앞으로도 좋은 상품 쿠폰 부탁드려요 감사합니다,5,"['샴푸', '가격', '구매', '남편', '물건', '걸', '컬리', '쿠폰', '때', '자주', '구매', '하라', '앞', '상품', '쿠폰']","['가격', '구매', '상품', '쿠폰']", 가격 구매 상품 쿠폰,1
10,2023-09-07,신선한 식품을 빠르게 배송해 주니 정말 마음에 드네요 포장도 꼼꼼하게 감사합니다,5,"['식품', '배송', '주니', '정말', '마음', '드네', '포장']","['포장', '식품', '배송']", 포장 식품 배송,1
11,2023-09-07,가격도 만족 상품도 만족 다,5,"['가격', '만족', '상품', '만족']","['가격', '상품', '만족']", 가격 상품 만족,1
12,2023-09-07,싱싱한 제품,5,['제품'],['제품'], 제품,1
13,2023-09-07,새벽에 오니까 아주,5,"['새벽', '오', '아주']",['새벽'], 새벽,1
14,2023-09-07,낮에 주문하면 새벽에 와있어요,5,"['낮', '주문', '새벽']","['새벽', '주문']", 새벽 주문,1
15,2023-09-06,만족,5,['만족'],['만족'], 만족,1
16,2023-09-06,쿠폰도 주고 배송도 빨라 좋습니다,5,"['쿠폰', '배송']","['배송', '쿠폰']", 배송 쿠폰,1
17,2023-09-06,한두 번 사용해 볼 만한 것 같음 배송도 괜찮고,4,"['번', '사용', '볼', '만', '것', '배송']",['배송'], 배송,1
18,2023-09-06,8888  처음 가입할 때 요거 적으면 5천 원 적립금 받을 수 있어요 마켓 컬리 늘 애용하는데 쿠폰도 자주 주고 이벤트가 많아서 저렴하게 쇼핑할 수 있어  배송도 아주 빨리 오고요,5,"['처음', '가입', '때', '거', '원', '적립금', '수', '마켓', '컬리', '늘', '애용', '쿠폰', '자주', '이벤트', '쇼핑', '수', '배송', '아주', '고요']","['적립금', '배송', '쿠폰', '이벤트']", 적립금 배송 쿠폰 이벤트,1
19,2023-09-06,저기요 담당 부서로 개선 요청한다고 말만 그러지 말고 제대로 운영 좀 하세요,1,"['저기', '담당', '부서', '개선', '요청', '말', '제대로', '운영', '좀']",['운영'], 운영,0
20,2023-09-05,새벽 배송 좋습니다,5,"['새벽', '배송']","['배송', '새벽']", 배송 새벽,1
21,2023-09-04,다양한 제품이 많았으면 해요,5,"['제품', '해']",['제품'], 제품,1
22,2023-09-04,새벽 배송,5,"['새벽', '배송']","['배송', '새벽']", 배송 새벽,1
23,2023-09-04,쇼핑과 결제가 편해요,5,"['쇼핑', '결제']",['결제'], 결제,1
24,2023-09-03,새벽 베송 너무,5,"['새벽', '베송']","['베송', '새벽']", 베송 새벽,1
25,2023-09-03,컬리 진작 이용할걸 진짜 편하네요 배송이 이렇게나 빠르다니 믿을 수가 없네요,5,"['컬리', '진작', '이용', '걸', '진짜', '배송', '수가']",['배송'], 배송,1
26,2023-09-03,배송시간을 계산할 때 언질 해주니 냉동식품 시켜도 불안하지 않아  이전엔 예상이 너무 길어 알람 붙들고 밤샘하고 그러다 놓치면 냉동식품 다 녹아서 진짜 기분 상했어요 그리고 제안은 요즘 쓱에 선 결재 후 일정 시간을 줘서 누락되거나 추가하고 싶은 물품을 조율하게 해주던데 이거 되게 편하더라고요 망설이다 제외하고 결재 후 아 시킬걸 하는 제품들 추가로 넣으니  컬리도 이거 해주면 좋겠어요,5,"['배송', '시간', '계산', '때', '질', '냉동식품', '이전', '예상', '알람', '밤샘', '냉동식품', '진짜', '기분', '상', '제안', '요즘', '쓱', '선', '결재', '후', '일정', '시간', '누락', '추가', '물품', '조율', '거', '제외', '결재', '후', '걸', '제품', '추가', '컬리', '거']","['알람', '배송', '제품', '누락', '결재', '물품', '냉동식품']", 알람 배송 제품 누락 결재 물품 냉동식품,1
27,2023-09-03,집돌이 필수 앱,5,"['집', '돌이', '필수', '앱']",['집'], 집,1
28,2023-09-01,새벽 배송이 있어서 편하고,5,"['새벽', '배송']","['배송', '새벽']", 배송 새벽,1
29,2023-08-31,쿠폰 큰 거 줘서,5,"['쿠폰', '거']",['쿠폰'], 쿠폰,1
30,2023-08-31,꼭 필요한 물건만 살 수 있고 할인 혜택도 있어 만족합니다,5,"['꼭', '물건', '살', '수', '할인', '혜택']","['혜택', '할인']", 혜택 할인,1
